A10_B000274_S10.homo
L16_B000863_S220.homo
L1_B000280_S193.homo
L20_B000274_S284.homo
L20_B003648_S128.homo
L21_B000274_S285.homo
L21_B000861_S57.homo
L21_B003648_S129.homo
L2_B000280_S194.homo
L3_B000861_S39.homo
M10_B000274_S298.homo
M11_B000274_S299.homo
M18_B000863_S246.homo
M19_B000861_S79.homo
M19_B000863_S247.homo
M1_B000280_S217.homo
M20_B000274_S8.homo
M20_B000863_S248.homo
M20_B003648_S152.homo
M21_B000274_S9.homo
M21_B000279_S297.homo
M21_B003648_S153.homo
M22_B000861_S82.homo
M2_B000280_S218.homo
M9_B000274_S297.homo
N10_B003067_S106.homo
N12_B000861_S96.homo
N14_B000863_S266.homo
N20_B003648_S176.homo
N21_B000274_S33.homo
N21_B000279_S21.homo
N21_B000863_S273.homo
N21_B003648_S177.homo
N22_B000274_S34.homo
N22_B003648_S178.homo
O11_B000274_S47.homo
O17_B000863_S293.homo
O19_B000863_S295.homo
O1_B000280_S265.homo
O1_B002365_S157.homo
O20_B000274_S56.homo
O20_B003648_S200.homo
O22_B003648_S202.homo
O2_B000280_S266.homo
P14_B000863_S14.homo
P15_B000863_S15.homo
P1_B000280_S289.homo
P20_B003648_S224.homo
P21_B000274_S81.homo
P21_B003648_S225.homo
P22_B000281_S274.homo
P22_B000863_S22.homo
P22_B003648_S226.homo
P2_B000280_S290.homo
P4_B000280_S292.homo
A2_B001798
A4_B001798
A5_B001799
B21_B003049
B2_B001797
B2_B001798
B3_B001798
B3_B003785
B4_B001797
C1_B001798
C3_B003785
C5_B001798
C5_B001800
D16_1001000393
D1_B001798
E4_B003785
E5_B001799
G5_B001798
H1_B003785
H3_B003785
H4_B001800
I2_B003785
I4_B001800
I5_B001799
J2_B003785
J4_B001799
K2_B001798
L2_B001798
L2_B003785
L3_B001800
L3_B003785
L5_B001797
M21_B003049
N2_B003785
N4_B003785
O1_B001800
O1_B003785
O4_B003785
P5_B003785
A1_B003039
A16_1001000378
A17_1001000378
A18_1001000378
A19_1001000378
A2_1001000376
A20_1001000378
A21_1001000378
A22_1001000378
A3_B003039
A4_1001000376
A4_B003039
A8_B003039
B1_1001000376
B1_B001795
B16_1001000378
B17_1001000378
B18_1001000378
B19_1001000378
B2_1001000376
B2_B001795
B20_1001000378
B22_1001000378
B3_1001000376
B4_1001000376
B5_B003039
B9_B003039
C1_1001000376
C1_B001795
C1_B003039
C12_1001000378
C16_1001000378
C17_1001000378
C18_1001000378
C19_1001000378
C2_1001000376
C20_1001000378
C21_1001000378
C22_1001000378
C3_B003039
C4_1001000376
C4_B003039
C5_B001795
C5_B003039
C8_B003039
D1_B001795
D1_B003039
D17_1001000378
D2_B001795
D2_B003039
D20_1001000378
D3_1001000376
D4_1001000376
D5_B001795
D6_B003039
E1_1001000376
E1_B001795
E1_B003039
E11_1001000378
E16_1001000378
E17_1001000378
E18_1001000378
E19_1001000378
E20_1001000378
E21_1001000378
E3_1001000376
E3_B003039
E4_1001000376
F1_1001000376
F1_B001795
F1_B003039
F10_B003039
F16_1001000378
F17_1001000378
F18_1001000378
F2_B001795
F20_1001000378
F21_1001000378
F22_1001000378
F3_B003039
F5_B001795
F8_B003039
G1_1001000376
G1_B001795
G1_B003039
G10_B003039
G16_1001000370
G16_1001000378
G17_1001000378
G18_1001000378
G19_1001000378
G2_1001000376
G2_B001795
G20_1001000378
G21_1001000378
G3_1001000376
G3_B001795
G3_B003039
G4_B001795
G4_B003039
G8_B003039
H1_B001795
H10_B003039
H16_1001000378
H17_1001000378
H18_1001000378
H19_1001000378
H2_B001795
H20_1001000378
H21_1001000378
H22_1001000378
H3_1001000370
H3_1001000376
H3_B001795
H4_1001000376
H5_B001795
H7_B003039
I1_1001000376
I1_B003039
I11_B003039
I18_1001000378
I19_1001000378
I2_B003039
I20_1001000378
I21_1001000378
I22_1001000378
I3_B001795
I3_B003039
I4_1001000376
I4_B001795
I5_B001795
I8_B003039
J1_1001000376
J1_B001795
J1_B003039
J16_1001000378
J17_1001000378
J18_1001000378
J2_1001000376
J2_B001795
J2_B003039
J20_1001000378
J21_1001000378
J22_1001000378
J3_1001000376
J4_1001000376
J4_B001795
J4_B003039
K1_1001000376
K1_B001795
K17_1001000378
K18_1001000378
K19_1001000378
K2_B001795
K20_1001000368
K20_1001000378
K22_1001000378
K3_B001795
K3_B003039
K4_1001000376
K4_B001795
K5_B001795
L1_1001000376
L1_B001795
L1_B003039
L16_1001000378
L17_1001000378
L18_1001000378
L19_1001000378
L2_1001000376
L20_1001000378
L21_1001000378
L22_1001000378
L3_1001000371
M1_1001000376
M16_1001000378
M17_1001000378
M18_1001000378
M19_1001000378
M2_B001795
M20_1001000378
M21_1001000378
M22_1001000378
M3_1001000376
M5_B001795
N1_1001000376
N17_1001000378
N18_1001000378
N19_1001000378
N2_1001000376
N20_1001000378
N22_1001000378
N3_B001795
N4_1001000376
N4_B001795
N4_B003039
N5_B001795
N8_B003039
O1_1001000376
O1_B001795
O17_1001000378
O18_1001000378
O19_1001000378
O2_1001000376
O2_B001795
O20_1001000378
O3_1001000376
O4_1001000376
O4_B001795
O5_B001795
P1_1001000376
P1_B001795
P16_1001000378
P17_1001000378
P18_1001000378
P19_1001000378
P2_1001000376
P2_B001795
P21_1001000378
P22_1001000378
P3_1001000376
P4_1001000376
P4_B001795
P5_B001795
P6_B003039
A1_B001800
A21_1001000366
A21_B003049
A5_1001000365
B3_B001797
B3_B001799
C2_B001798
C4_B001798
C5_B001797
C5_B001799
D15_1001000365
D4_B001797
E13_1001000393
E1_1001000366
E1_B001797
E3_B001799
E3_B001800
F3_B001798
F5_B001800
G17_1001000365
G1_B001797
G1_B001799
G3_B001797
G3_B001799
G4_B001799
H12_1001000365
H14_1001000393
H19_1001000363
H2_B001798
H2_B001799
H3_1001000413
I12_1001000393
I18_1001000365
I1_B001798
I2_B001799
I3_B001797
I3_B001799
I5_B001797
J11_1001000365
J12_1001000393
J14_1001000393
J1_B001797
J1_B001798
J3_B001797
J3_B001798
K13_1001000393
K1_B001799
K2_B001797
K3_B001797
K3_B001798
K3_B001799
K4_B001797
K5_B001799
K5_B001800
L15_1001000393
L1_B001797
L2_1001000413
L3_B001797
L3_B001798
L4_B001797
L4_B001798
L5_B001798
M13_1001000393
M1_B001797
M3_B001797
M3_B001800
M4_B001797
M4_B001798
N13_1001000393
N1_B001797
N1_B001800
N2_B001797
N3_B001798
N3_B001799
N4_B001797
N4_B001798
N4_B001799
O1_B001799
O2_1001000413
O2_B001797
O3_B001797
O3_B001800
O4_B001797
O5_B001797
O5_B001798
O5_B001799
O5_B001800
P13_1001000393
P1_B001799
P1_B001800
P2_B001797
P3_B001797
P3_B001800
P4_B001797
P4_B001800
P5_B001797
P5_B001799
P5_B001800
